Model,Latency [s],GPU Memory (allocated)[MB],GPU Memory (reserved) [MB],CPU Memory (rss) [MB],Accuracy,Params [M]
gpt2::cp::rank8::horizon8::hd768::bs::1,1.098 ± 0.002,26653.432 ± 0.000,26682.000 ± 0.000,1296.930 ± 0.000,0.000 ± 0.000,6964.4
gpt2::cp::rank8::horizon16::hd5120::bs::1,1.007 ± 0.009,36651.322 ± 0.000,36698.000 ± 0.000,1298.527 ± 0.000,0.000 ± 0.000,9587.3
gpt2::cp::rank8::horizon16::hd768::bs::1,0.920 ± 0.007,27412.830 ± 0.000,27462.000 ± 0.000,1299.055 ± 0.000,0.000 ± 0.000,7165.77
gpt2::cp::rank8::horizon32::hd768::bs::1,1.180 ± 0.011,28948.548 ± 0.000,29006.000 ± 0.000,1306.379 ± 0.000,0.000 ± 0.000,7568.53
gpt2::cp::rank16::horizon2::hd5120::bs::1,3.955 ± 0.004,28986.056 ± 0.000,29068.000 ± 0.000,1305.691 ± 0.000,0.000 ± 0.000,7573.54
gpt2::cp::rank16::horizon2::hd768::bs::1,3.778 ± 0.007,26277.524 ± 0.000,26358.000 ± 0.000,1306.008 ± 0.000,0.000 ± 0.000,6863.71
gpt2::cp::rank16::horizon4::hd5120::bs::1,2.141 ± 0.003,31544.640 ± 0.000,31626.000 ± 0.000,1306.105 ± 0.000,0.000 ± 0.000,8244.79
gpt2::cp::rank16::horizon4::hd768::bs::1,1.949 ± 0.004,26660.640 ± 0.000,26744.000 ± 0.000,1306.180 ± 0.000,0.000 ± 0.000,6964.4
gpt2::cp::rank16::horizon8::hd5120::bs::1,1.286 ± 0.005,36659.744 ± 0.000,36700.000 ± 0.000,1305.879 ± 0.000,0.000 ± 0.000,9587.3
gpt2::cp::rank16::horizon8::hd768::bs::1,1.110 ± 0.002,27421.619 ± 0.000,27464.000 ± 0.000,1306.562 ± 0.000,0.000 ± 0.000,7165.77
gpt2::cp::rank16::horizon16::hd768::bs::1,0.936 ± 0.008,28949.205 ± 0.000,29030.000 ± 0.000,1306.172 ± 0.000,0.000 ± 0.000,7568.53
gpt2::cp::rank16::horizon32::hd768::bs::1,1.188 ± 0.002,32082.298 ± 0.000,32140.000 ± 0.000,1316.027 ± 0.000,0.000 ± 0.000,8374.03
